State,District,Solar Irradiance,Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Cultivated land (%),Cropping Intensity(%),Irrigation Intensity (%),IWU (% of CWU),Text-Crop,GW share irr (% of IWU),GW_dev_stage (%),Aquifer type,Number of SW bodies,Surface water area (km2),Surface water area (km2)-%,GW share irr (% of IWU),GW_dev_stage (%),Surface water area (km2),Text-Water,Number of pumps,Elect(%),Diesel (%),GW_abstracted (MCM),Electricity Tariff,GWL (m),Elect(%),emission factor,Emission (kgCO2),Text-Energy,Small& Marginal % Holdings,Avg Area per holding (ALLGrps),Avg. No. of Parcel per holdings (Allgrps),Small& Marginal % Holdings,Avg Area_class,parcel_class,Text-Farmer,DISCOM Name,DISCOM Name-shrt,DISCOM Rating,Feeder segregation,Feeder segregation,Electricity Tariff,Electricity Subsidy,Text-Utilty,Community-SIP,Community-SIP-text,SW-SIP,SW-SIP-BI,Pump,DISCOM-R,Feeder segregation,Text-Model,Text-Model-n,Model-short
bihar,Sheohar,4.60,53.89,191.10,58.40,60.42,High,High,High,High,"District has High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is High with High irrigation water requirements.",98.84,61.49,SR,371.00,2.26,0.39,Very High,Moderate,1,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Moderate. There are 371 surface water bodies, covering 0.4% of district area.",100.00,12.00,87,101.08,67.50,4.30,4,0.097044,0.00,"District has 100 pumps, with 12 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 101 MCM of groundwater.",97.81,0.32,2.66,Very High,4.00,High,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.32 ha with High fragmentation of land.,North Bihar Power Distribution Company Ltd (NBPDCL),,C,Yes,More than 70 % of feeder is segregated.,67.50,Very High,North Bihar Power Distribution Company Ltd (NBPDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
madhya pradesh,Sheopur,4.60,25.81,156.60,61.60,73.24,Moderate,Moderate,High,Very High,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",50.09,38.47,SR,408.00,4.27,0.06,High,Low,2,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 408 surface water bodies, covering 0.1% of district area.",100.00,99.00,1,194.9395,135.00,15.80,1,0.275952,0.01,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 194 MCM of groundwater.",72.72,1.66,2.64,High,3.00,High,Small and Marginal farmers hold 72 % of holdings. The average area per holding is 1.66 ha with High fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),,B,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS and FLS) 
himachal pradesh,Shimla,4.80,13.79,119.90,0.00,38.78,Low,Low,Low,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",5.70,0.00,HR,15060.00,0.41,0.01,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 15060 surface water bodies, covering 0% of district area.",100.00,98.00,0,0,30.00,11.90,1,0.27244,0.00,"District has 100 pumps, with 98 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 0 MCM of groundwater.",88.01,0.96,3.31,Very High,4.00,Very High,Small and Marginal farmers hold 88 % of holdings. The average area per holding is 0.96 ha with Very High fragmentation of land.,Himachal Pradesh State Electricity Board Limited (HPSEBL),,C,No,,30.00,Very High,Himachal Pradesh State Electricity Board Limited (HPSEBL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
karnataka,Shimoga,5.28,29.34,111.10,62.00,51.74,Moderate,Low,High,High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with High irrigation water requirements.",28.31,40.62,HR,3937.00,281.00,3.49,Moderate,Low,4,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 3937 surface water bodies, covering 3.5% of district area.",100.00,100.00,0,685.6846,0.00,7.60,1,0.278,0.01,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 685 MCM of groundwater.",87.04,1.11,1.71,Very High,3.00,Moderate,Small and Marginal farmers hold 87 % of holdings. The average area per holding is 1.11 ha with Moderate fragmentation of land.,Mangalore Electricity Supply Company Limited (MESCOM),,A,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Mangalore Electricity Supply Company Limited (MESCOM) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,,,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model C (IPS and FLS) 
madhya pradesh,Shivpuri,5.22,47.57,167.70,39.60,73.00,Moderate,Moderate,Moderate,Very High,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",69.23,67.67,HR,1199.00,83.20,0.78,High,Moderate,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 1199 surface water bodies, covering 0.8% of district area.",100.00,97.00,3,530.0039,135.00,13.23,1,0.271856,0.02,"District has 100 pumps, with 97 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 530 MCM of groundwater.",74.72,1.62,3.37,High,3.00,Very High,Small and Marginal farmers hold 74 % of holdings. The average area per holding is 1.62 ha with Very High fragmentation of land.,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL),,B,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Madhya Kshetra Vidyut Vidyut Vitaran Company Limited (MPMKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS and FLS) 
uttar pradesh,Shravasti,4.80,64.46,156.30,44.30,69.73,High,Moderate,Moderate,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",73.85,57.14,SR,1697.00,9.73,0.31,High,Moderate,3,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 1697 surface water bodies, covering 0.3% of district area.",100.00,79.00,19,794.3981,0.00,3.40,1,0.233528,0.01,"District has 100 pumps, with 79 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 794 MCM of groundwater.",94.03,0.71,1.87,Very High,4.00,Moderate,Small and Marginal farmers hold 94 % of holdings. The average area per holding is 0.71 ha with Moderate fragmentation of land.,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
jammu and kashmir,Shupiyan,4.61,53.04,111.00,58.50,45.62,High,Low,High,Moderate,"District has High proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Moderate irrigation water requirements.",0.80,14.90,SR,0.00,0.00,0.00,Low,Low,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 0 surface water bodies, covering 0% of district area.",100.00,27.00,73,24.2366,235.00,8.11,3,0.128496,0.00,"District has 100 pumps, with 27 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 24 MCM of groundwater.",97.40,0.55,7.21,Very High,4.00,Very High,Small and Marginal farmers hold 97 % of holdings. The average area per holding is 0.55 ha with Very High fragmentation of land.,#N/A,,#N/A,No data,,235.00,Moderate,No data on DISCOM,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No data,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
uttar pradesh,Siddharth Nagar,4.71,75.00,167.70,54.30,75.33,Very High,Moderate,High,Very High,"District has Very High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",63.54,63.31,SR,6905.00,26.80,0.77,High,Moderate,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Moderate. There are 6905 surface water bodies, covering 0.8% of district area.",100.00,1.00,98,445.3193,0.00,3.89,4,0.074516,0.00,"District has 100 pumps, with 1 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 445 MCM of groundwater.",96.23,0.58,1.38,Very High,4.00,Moderate,Small and Marginal farmers hold 96 % of holdings. The average area per holding is 0.58 ha with Moderate fragmentation of land.,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),,C-,Yes,More than 70 % of feeder is segregated.,0.00,Very High,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,Yes,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
madhya pradesh,Sidhi,5.13,35.01,140.30,34.30,70.53,Moderate,Moderate,Moderate,Very High,"District has Moderate proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",65.19,36.11,SR,337.00,5.14,0.11,High,Low,2,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 337 surface water bodies, covering 0.1% of district area.",100.00,70.00,29,105.4905,135.00,10.15,2,0.215828,0.00,"District has 100 pumps, with 70 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 105 MCM of groundwater.",82.05,1.20,2.93,Very High,3.00,High,Small and Marginal farmers hold 82 % of holdings. The average area per holding is 1.2 ha with High fragmentation of land.,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),,B-,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
rajasthan,Sikar,5.21,65.60,140.10,37.20,69.27,High,Moderate,Moderate,Very High,"District has High proportion of area under cultivation, supporting Moderate cropping intensity. Irrigation coverage is Moderate with Very High irrigation water requirements.",99.18,192.11,HR,53.00,1108.32,13.97,Very High,Over-exploited,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 53 surface water bodies, covering 14% of district area.",100.00,53.00,46,128.6572,167.00,49.00,2,0.181012,0.01,"District has 100 pumps, with 53 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 128 MCM of groundwater.",67.46,1.88,2.17,High,3.00,High,Small and Marginal farmers hold 67 % of holdings. The average area per holding is 1.88 ha with High fragmentation of land.,Ajmer Vidyut Vitran Nigam Limited (AVVNL),(AVVNL),B,No,,167.00,Moderate,Ajmer Vidyut Vitran Nigam Limited (AVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,High,No,Both electric and diesel pumps are present. High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation.,Both electric and diesel pumps are present. High DISCOM rating alongside feeder segregation and need for groundwater management suggests PM-KUSUM model C (IPS) may be preferred to incentivise groundwater conservation. Model C (FLS) may be promoted with appropriate innovation to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM model C (IPS)
jharkhand,Simdega,5.15,21.44,100.90,4.90,38.27,Low,Low,Low,Moderate,"District has Low proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",73.34,13.15,HR,2362.00,15.91,0.42,High,Low,3,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 2362 surface water bodies, covering 0.4% of district area.",100.00,38.00,54,31.4847,95.00,5.29,3,0.145168,0.00,"District has 100 pumps, with 38 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 31 MCM of groundwater.",76.08,1.65,5.30,High,3.00,Very High,Small and Marginal farmers hold 76 % of holdings. The average area per holding is 1.65 ha with Very High fragmentation of land.,Jharkhand Bijli Vitran Nigam Limited (JBVNL),,C-,No,,95.00,High,Jharkhand Bijli Vitran Nigam Limited (JBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,No,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ,Both electric and diesel pumps are present.  Low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B + DISCOM
maharashtra,Sindhudurg,5.17,32.26,102.50,12.00,62.07,Moderate,Low,Low,High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with High irrigation water requirements.",43.07,43.33,HR,574.00,8.32,0.15,Moderate,Low,3,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 574 surface water bodies, covering 0.2% of district area.",100.00,99.00,1,654.9052,155.00,6.77,1,0.275952,0.01,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 654 MCM of groundwater.",87.29,1.10,3.01,Very High,3.00,Very High,Small and Marginal farmers hold 87 % of holdings. The average area per holding is 1.1 ha with Very High fragmentation of land.,Maharashtra State Electricity Distribution Company Limited (MSEDCL),,C,Yes,More than 70 % of feeder is segregated.,155.00,Moderate,Maharashtra State Electricity Distribution Company Limited (MSEDCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
madhya pradesh,Singrauli,5.09,28.64,136.50,18.40,67.86,Moderate,Low,Low,Very High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is Low with Very High irrigation water requirements.",67.12,39.08,HR,2115.00,22.82,0.39,High,Low,4,"Groundwater contribution to irrigation is High with current groundwater development stage classified as Low. There are 2115 surface water bodies, covering 0.4% of district area.",100.00,99.00,1,138.5677,135.00,9.47,1,0.275952,0.00,"District has 100 pumps, with 99 % of pumps being electric. The electric tariff subsidy is High. These pumps abstract 138 MCM of groundwater.",82.39,1.26,4.76,Very High,3.00,Very High,Small and Marginal farmers hold 82 % of holdings. The average area per holding is 1.26 ha with Very High fragmentation of land.,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),,B-,Yes,More than 70 % of feeder is segregated.,135.00,High,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. More than 70 % of feeder is segregated.,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,Yes,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM model C (IPS and FLS) + DISCOM
tripura,Sipahijala,4.58,44.39,221.20,22.50,37.59,Moderate,Very High,Low,Moderate,"District has Moderate proportion of area under cultivation, supporting Very High cropping intensity. Irrigation coverage is Low with Moderate irrigation water requirements.",31.65,11.73,SR,0.00,0.00,0.00,Moderate,Low,1,"Groundwater contribution to irrigation is Moderate with current groundwater development stage classified as Low. There are 0 surface water bodies, covering 0% of district area.",100.00,100.00,0,9.8359,405.00,4.25,1,0.278,0.00,"District has 100 pumps, with 100 % of pumps being electric. The electric tariff subsidy is Low. These pumps abstract 9 MCM of groundwater.",95.92,0.61,1.48,Very High,4.00,Moderate,Small and Marginal farmers hold 95 % of holdings. The average area per holding is 0.61 ha with Moderate fragmentation of land.,Tripura State Electricity Corporation Limited (TSECL),,C,No,,405.00,Low,Tripura State Electricity Corporation Limited (TSECL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Electric,,No,"Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations. ","Electric pump proportion is higher, however low DISCOM rating and low feeder segregation suggests that implementing PM-KUSUM C model may be challenging. Existing diesel pumps can be prioritised under PM-KUSUM B while investments are made to strengthen DISCOM and feeder segregations.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM B + DISCOM
himachal pradesh,Sirmaur,4.72,17.11,190.30,38.50,52.77,Low,High,Moderate,High,"District has Low proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Moderate with High irrigation water requirements.",20.99,21.84,HR,10220.00,37.01,1.29,Low,Low,4,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Low. There are 10220 surface water bodies, covering 1.3% of district area.",100.00,0.00,0,19.8033,30.00,10.71,4,0,0.00,"District has 100 pumps, with 0 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 19 MCM of groundwater.",71.08,1.82,4.03,High,3.00,Very High,Small and Marginal farmers hold 71 % of holdings. The average area per holding is 1.82 ha with Very High fragmentation of land.,Himachal Pradesh State Electricity Board Limited (HPSEBL),,C,No,,30.00,Very High,Himachal Pradesh State Electricity Board Limited (HPSEBL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is C. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,,,Diesel,,No,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred.,Higher proportion of diesel pumps suggests that PM-KUSUM model B be preferred. Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred,PM-KUSUM B
rajasthan,Sirohi,5.59,33.28,132.20,57.90,74.64,Moderate,Low,High,Very High,"District has Moderate proportion of area under cultivation, supporting Low cropping intensity. Irrigation coverage is High with Very High irrigation water requirements.",97.92,116.95,SR,71.00,93.26,1.73,Very High,Over-exploited,4,"Groundwater contribution to irrigation is Very High with current groundwater development stage classified as Over-exploited. There are 71 surface water bodies, covering 1.7% of district area.",100.00,45.00,55,641.9543,167.00,12.30,3,0.16536,0.01,"District has 100 pumps, with 45 % of pumps being electric. The electric tariff subsidy is Moderate. These pumps abstract 641 MCM of groundwater.",64.56,2.44,3.12,High,2.00,Very High,Small and Marginal farmers hold 64 % of holdings. The average area per holding is 2.44 ha with Very High fragmentation of land.,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),JDVVNL),B-,No,,167.00,Moderate,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is B-. ,Community SIP, Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred, High groundwater development suggests that new SIPs should focus on surface water sources. ,Yes,mix,,No,"Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation.","Electric pump proportion is higher, with more than 80 % feeder segregation suggesting preferred PM-KUSUM  model is C.  However, low DISCOM rating may be a challenge suggesting investments are to be made to strengthen DISCOM. High groundwater development suggests PM-KUSUM (IPS) may be preferred to incentivise groundwater conservation. High groundwater development suggests that new SIPs should focus on surface water sources.  Small farm areas alongside higher fragmentation of holdings suggests community SIPs may be preferred",PM-KUSUM (IPS) + DISCOM
haryana,Sirsa,4.93,92.23,190.10,97.60,82.96,Very High,High,Very High,Very High,"District has Very High proportion of area under cultivation, supporting High cropping intensity. Irrigation coverage is Very High with Very High irrigation water requirements.",19.17,148.48,SR,1260.00,0.48,0.01,Low,Over-exploited,1,"Groundwater contribution to irrigation is Low with current groundwater development stage classified as Over-exploited. There are 1260 surface water bodies, covering 0% of district area.",100.00,80.00,20,831.7499,10.00,13.10,1,0.23704,0.02,"District has 100 pumps, with 80 % of pumps being electric. The electric tariff subsidy is Very High. These pumps abstract 831 MCM of groundwater.",60.15,2.51,1.11,High,2.00,Low,Small and Marginal farmers hold 60 % of holdings. The average area per holding is 2.51 ha with Low fragmentation of land.,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),,A,Yes,More than 70 % of feeder is segregated.,10.00,Very High,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL) is the Distribution Company responsible for distributing electricity. The rating of DISCOM (capturing financial and operational metrics) is A. More than 70 % of feeder is segregated.,,,,,Electric,High,Yes,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,High DISCOM rating alongside feeder segregation and higher proportion of electric pumps suggests both PM-KUSUM model C (IPS and FLS) may be preferred.,PM-KUSUM model C (IPS and FLS) 
