District,Adapt,Mitigate,Replace,General_SI,1Cult_land1,1Crop_Int,1Irrig_Inte,1IWU,1GW_Irr_Sh,1GW_Dev,1no_of_SWB,1SW_body,1ElectPtg,1DieselPtg,1el_Tariff,1S_M_Hold,1ALLGrps,1ALLGrpsNo,1DISCOMNam,1DISCOMRat,1Feederseg
Imphal East,Very High,Low,Very Low,Adaptation,100.0,131.8,8.5,39.05,0.06,8.07,247.0,0.13,,,515.0,90.12,1.0,1.03,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Imphal West,Very High,Moderate,Very Low,Adaptation,100.0,153.4,14.4,34.83,0.04,11.05,345.0,0.19,,,515.0,86.51,0.9,1.12,Manipur State Power Distribution Company Limited (MSPDCL),C,Yes
Indore,Very Low,Moderate,Very High,GW Sustainability,65.56,196.8,45.7,70.31,85.53,119.38,636.0,0.36,98.0,2.0,135.0,71.89,1.56,2.97,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Jabalpur,Low,High,Very High,Mitigation + GW Sustainability,53.75,172.8,61.0,74.07,66.54,51.31,313.0,0.09,97.0,3.0,135.0,80.29,1.33,2.51,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Jagatsinghapur,High,Very Low,Low,Adaptation,51.56,161.8,41.1,36.76,6.3,57.48,3693.0,0.4,87.0,13.0,150.0,97.32,0.65,2.24,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Jaintia Hills,Low,Very Low,Very Low,No Data,3.19,101.8,63.3,32.2,,1.22,648.0,0.27,,,300.0,,1.24,1.02,Meghalaya Power Distribution Corporation Limited (MePDCL),C-,Yes
Jaipur,Very Low,High,Very High,Mitigation + GW Sustainability,57.1,153.9,35.2,70.57,99.13,225.93,82.0,0.1,92.0,8.0,167.0,72.05,1.89,3.57,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Jaisalmer,Very Low,Very Low,Moderate,No Data,20.81,132.2,43.1,82.86,20.99,362.01,489.0,0.01,27.0,59.0,167.0,10.12,7.81,1.85,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Jajapur,High,Very Low,Low,Adaptation,38.85,116.4,18.1,34.0,25.66,65.94,733.0,0.08,27.0,70.0,150.0,95.75,0.79,1.87,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Jalandhar,Very Low,High,Very High,Mitigation + GW Sustainability,90.8,166.4,100.0,65.72,98.87,263.6,1315.0,0.24,95.0,5.0,,,4.07,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Jalaun,Moderate,High,Moderate,Mitigation,75.43,139.4,56.1,76.12,37.76,55.17,1665.0,0.16,37.0,63.0,,78.69,1.4,2.12,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Jalgaon,Moderate,Moderate,High,GW Sustainability,69.22,156.9,22.3,74.17,85.3,78.76,3071.0,0.45,99.0,1.0,155.0,76.73,1.45,1.28,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Jalna,Very High,Very High,Moderate,Adaptation + Mitigation,79.08,130.1,18.0,70.2,95.32,54.85,5319.0,2.8,18.0,82.0,155.0,79.38,1.29,1.37,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Jalor,Very Low,Low,Very High,GW Sustainability,62.65,139.7,45.7,71.35,97.76,181.46,1065.0,0.22,95.0,5.0,167.0,32.25,4.47,2.85,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Jalpaiguri,High,Low,Very Low,Adaptation,59.96,146.0,8.9,26.95,62.47,12.26,1377.0,0.18,44.0,56.0,460.0,96.31,0.82,4.1,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Jammu,High,Moderate,Low,Adaptation,43.78,190.2,62.5,66.56,21.07,34.62,928.0,0.05,,,235.0,93.45,0.68,3.59,,,No data
Jamnagar,Low,High,Moderate,Mitigation,60.23,102.2,64.0,77.3,92.9,36.42,1782.0,0.49,100.0,,60.0,59.03,2.23,1.83,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Jamtara,High,Moderate,Very Low,Adaptation,34.56,125.3,5.2,40.54,31.29,44.8,4860.0,2.16,6.0,94.0,95.0,74.86,1.58,1.25,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Jamui,High,Moderate,Low,Adaptation,21.11,167.0,46.1,53.85,27.02,32.65,1046.0,8.46,25.0,69.0,67.5,97.24,0.57,2.54,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Janjgir-Champa,Moderate,Low,Moderate,No Data,58.42,106.3,81.1,43.85,11.56,30.32,1594.0,0.78,98.0,1.0,,91.9,0.82,2.49,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Jashpur,Moderate,Very Low,Low,No Data,37.51,104.8,3.9,38.79,37.86,43.08,1552.0,0.15,97.0,3.0,,65.18,2.05,4.03,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Jaunpur,Very Low,Very High,High,Mitigation + GW Sustainability,68.74,180.8,82.3,72.42,70.25,71.31,5268.0,0.6,31.0,68.0,,97.3,0.5,1.66,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Jehanabad,Very Low,High,Moderate,Mitigation,38.53,183.1,78.3,63.04,61.3,82.21,98.0,0.17,2.0,97.0,67.5,97.55,0.29,2.08,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Jhabua,Very High,High,Moderate,Adaptation + Mitigation,60.77,138.9,30.6,76.49,46.45,44.79,1020.0,0.66,97.0,3.0,135.0,83.1,1.27,3.16,Madhya Pradesh Paschim Kshetra Vidyut Company Limited (MPPaKVVCL),A,Yes
Jhajjar,Very Low,High,High,Mitigation + GW Sustainability,69.86,176.2,91.7,80.61,53.16,54.14,994.0,0.07,99.0,1.0,10.0,75.37,1.71,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Jhalawar,Moderate,High,Very High,Mitigation + GW Sustainability,54.17,192.7,50.6,69.77,86.53,116.59,140.0,5.77,100.0,,167.0,74.64,1.71,2.76,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Jhansi,Low,High,Moderate,Mitigation,63.19,156.4,48.1,71.31,51.4,67.54,1476.0,0.25,18.0,81.0,,77.73,1.44,2.35,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Jharsuguda,Very High,Very Low,Very Low,Adaptation,30.76,100.9,2.8,37.53,18.19,51.44,1231.0,0.61,37.0,43.0,150.0,92.46,0.98,4.49,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Jhunjhunun,Very Low,Moderate,Very High,GW Sustainability,65.14,160.5,39.9,68.18,99.34,216.66,,,93.0,7.0,167.0,71.95,1.66,1.94,Ajmer Vidyut Vitran Nigam Limited (AVVNL),B,No
Jind,Very Low,Moderate,Very High,GW Sustainability,92.58,190.9,99.1,81.22,43.46,105.27,1026.0,0.15,92.0,6.0,10.0,65.98,2.31,1.0,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Jodhpur,Very Low,Low,Very High,GW Sustainability,61.9,126.9,47.8,75.59,96.28,256.74,468.0,0.03,78.0,22.0,167.0,26.61,5.7,1.86,Jodhpur Vidyut Vitran Nigam Limited (JDVVNL),B-,No
Jorhat,Very High,Moderate,Very Low,Adaptation,60.28,111.6,0.5,29.37,43.5,12.61,3138.0,0.23,,100.0,465.0,82.52,1.12,1.83,Assam Power Distribution Company Limited (APDCL),B-,No
Junagadh,Very Low,Very High,Very High,Mitigation + GW Sustainability,63.82,144.9,58.4,83.36,99.02,42.26,970.0,0.33,100.0,,60.0,68.06,2.13,1.75,Paschim Gujarat Vij Company Limited (PGVCL),A+,Yes
Kabeerdham,Low,Moderate,Low,No Data,41.85,148.8,52.2,58.64,23.2,65.42,1536.0,0.86,94.0,5.0,,84.98,1.15,2.53,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Kachchh,Very Low,Moderate,Moderate,No Data,15.07,110.0,36.6,72.35,85.21,54.05,2501.0,0.15,99.0,1.0,60.0,42.85,3.03,1.69,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Kaimur,Low,High,Moderate,Mitigation,49.12,145.4,91.9,58.75,41.66,37.8,1329.0,1.38,,98.0,67.5,93.4,0.43,1.24,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Kaithal,Very Low,Very High,Very High,Mitigation + GW Sustainability,84.69,188.9,100.0,80.04,61.47,193.81,738.0,0.04,94.0,2.0,10.0,67.08,2.21,1.87,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Kalahandi,Very High,Moderate,Low,Adaptation,43.42,121.5,39.0,44.4,6.29,41.81,2308.0,125.89,18.0,81.0,150.0,86.86,1.28,1.65,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Kamrup,High,Moderate,Very Low,Adaptation,31.88,169.2,9.2,37.66,41.05,31.25,7571.0,0.3,3.0,97.0,465.0,87.64,1.08,3.12,Assam Power Distribution Company Limited (APDCL),B-,No
Kamrup Metropolitan,Moderate,Very Low,Very Low,No Data,30.13,133.3,3.4,33.74,50.61,77.72,1619.0,0.2,7.0,93.0,465.0,89.65,0.99,2.3,Assam Power Distribution Company Limited (APDCL),B-,No
Kancheepuram,Moderate,Moderate,High,GW Sustainability,23.16,118.1,95.8,58.97,42.68,50.55,6705.0,56.91,95.0,3.0,,94.4,0.72,2.7,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Kandhamal,High,Very Low,Very Low,Adaptation,10.48,104.1,5.4,30.55,14.57,30.23,160.0,,77.0,21.0,150.0,95.35,0.86,2.62,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Kangra,Low,Very Low,Low,No Data,17.73,189.8,34.8,32.15,27.04,23.27,9250.0,0.05,69.0,31.0,30.0,90.75,0.82,4.75,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Kannauj,Very Low,Very High,Very High,Mitigation + GW Sustainability,72.74,170.5,92.8,71.99,87.53,75.12,1384.0,0.26,3.0,97.0,,95.81,0.61,1.58,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Kanniyakumari,Very High,High,Moderate,Adaptation + Mitigation,43.7,105.6,37.2,52.26,9.19,15.55,2532.0,264.5,94.0,5.0,,99.46,0.26,1.14,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Kannur,High,Moderate,Low,Adaptation,62.6,117.7,8.8,39.68,53.86,49.75,5314.0,0.34,98.0,1.0,195.0,99.14,0.2,1.2,Kerala State Electricity Board Limited (KSEBL),B-,No
Kanpur Dehat,Very Low,Very High,High,Mitigation + GW Sustainability,71.1,144.4,72.1,77.15,62.99,74.12,3190.0,0.45,14.0,86.0,,92.32,0.76,1.83,Kanpur Electricity Supply Company Limited (KESCO),B-,No
Kanpur Nagar,Low,Very High,Moderate,Mitigation,63.04,138.0,68.0,77.1,73.04,78.16,3120.0,0.4,33.0,67.0,,92.46,0.72,1.72,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Kapurthala,Very Low,Low,Very High,GW Sustainability,79.12,199.7,100.0,64.14,97.29,237.4,527.0,0.13,94.0,6.0,,,3.99,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Karaikal,High,Moderate,Moderate,Adaptation,29.54,139.0,80.1,66.55,10.99,28.37,580.0,1.53,61.0,38.0,,82.33,1.24,1.23,,,No data
Karauli,Very Low,Very Low,Very High,GW Sustainability,38.31,165.9,46.8,63.68,93.66,158.04,1470.0,0.38,100.0,,167.0,79.46,1.46,3.79,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Karbi Anglong,Moderate,Very Low,Very Low,No Data,12.06,164.7,19.4,40.2,46.85,2.81,1830.0,0.02,,100.0,465.0,85.24,0.99,1.23,Assam Power Distribution Company Limited (APDCL),B-,No
Kargil,No Data,No Data,No Data,No Data,,115.9,100.0,19.61,0.24,25.07,352.0,,,,235.0,94.29,0.75,3.74,,,No data
Karimganj,Very High,Low,Very Low,Adaptation,40.33,111.8,3.7,35.43,31.52,4.27,10589.0,1.16,5.0,95.0,465.0,80.53,1.54,4.09,Assam Power Distribution Company Limited (APDCL),B-,No
Karimnagar,Moderate,High,Very High,Mitigation + GW Sustainability,68.2,152.2,81.8,68.03,62.59,27.79,1544.0,0.51,99.0,1.0,,92.7,0.8,1.32,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
Karnal,Very Low,High,Very High,Mitigation + GW Sustainability,81.4,194.1,100.0,74.99,85.67,172.93,200.0,0.07,95.0,5.0,10.0,65.11,2.43,1.32,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Karur,Low,High,High,Mitigation + GW Sustainability,27.89,103.1,50.9,73.65,80.0,99.12,1034.0,0.53,94.0,6.0,,84.71,1.1,2.47,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Kasaragod,Low,Moderate,High,GW Sustainability,74.55,108.3,43.0,38.84,75.5,72.75,2880.0,2.49,95.0,5.0,195.0,98.19,0.33,1.13,Kerala State Electricity Board Limited (KSEBL),B-,No
Kasganj,Very Low,Very High,High,Mitigation + GW Sustainability,72.55,188.7,85.1,75.45,58.2,67.65,1050.0,0.1,16.0,82.0,,92.77,0.77,1.83,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Kathua,Moderate,Very Low,Low,No Data,22.61,197.2,36.2,65.62,14.55,30.52,3138.0,0.04,100.0,,235.0,88.32,0.92,3.91,,,No data
Katihar,Very Low,High,Moderate,Mitigation,45.22,181.8,75.3,43.27,91.26,53.22,965.0,0.26,4.0,96.0,67.5,97.0,0.48,1.04,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Katni,Low,High,Very High,Mitigation + GW Sustainability,51.1,153.7,62.6,75.65,61.79,47.12,4103.0,1.35,99.0,1.0,135.0,84.32,1.2,2.96,Madhya Pradesh Poorv Kshetra Vidyut Vitaran Company Limited (MPPoKVVCL),B-,Yes
Kaushambi,Very Low,Very High,High,Mitigation + GW Sustainability,64.97,163.3,78.9,74.1,82.46,81.73,2922.0,0.4,26.0,74.0,,94.31,0.64,2.1,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Kendrapara,High,Very Low,Very Low,Adaptation,56.57,116.7,40.6,33.41,4.9,63.66,4138.0,0.33,46.0,45.0,150.0,96.61,0.75,2.52,TP Central Odisha Distribution Limited (TPCODL),A+,No data
Kendujhar,Very High,Very Low,Very Low,Adaptation,27.07,102.3,9.5,30.67,11.77,44.54,1631.0,0.06,23.0,75.0,150.0,94.96,0.87,2.9,TP Northern Odisha Distribution Limited (TPNODL),A+,No data
Khagaria,Very Low,High,Moderate,Mitigation,57.06,142.5,68.6,54.57,92.76,59.52,178.0,0.09,8.0,88.0,67.5,96.03,0.36,1.05,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Khammam,Moderate,High,Moderate,Mitigation,60.45,120.7,68.6,65.05,38.59,32.39,1683.0,0.74,100.0,,,87.24,1.12,1.4,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
Kheda,Moderate,Very High,Very High,Mitigation + GW Sustainability,79.15,144.4,90.9,79.61,61.07,40.34,1752.0,1.03,100.0,,60.0,85.74,1.13,1.02,Uttar Gujarat Vij Company Limited (UGVCL),A+,Yes
Khordha,Very High,Very Low,Very Low,Adaptation,31.87,112.2,19.4,35.24,14.77,61.18,1863.0,0.33,61.0,26.0,150.0,97.31,0.62,1.91,TP Western Odisha Distribution Limited (TPWODL),A+,No data
Khowai,Very High,Very Low,Low,Adaptation,31.91,178.9,22.8,36.67,34.69,9.75,,,100.0,,405.0,95.26,0.46,1.12,Tripura State Electricity Corporation Limited (TSECL),C,No
Khunti,High,High,Low,Adaptation + Mitigation,21.11,118.2,8.6,39.32,71.76,27.05,1941.0,10.2,3.0,97.0,95.0,73.6,1.85,1.02,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Kinnaur,Moderate,Very Low,Very Low,No Data,1.4,132.8,,31.11,,,1467.0,0.09,98.0,,30.0,83.02,1.15,3.86,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Kiphire,Moderate,Very Low,Very Low,No Data,18.01,129.6,10.8,29.23,0.09,2.4,143.0,0.01,,,320.0,11.22,3.62,1.16,,,No data
Kishanganj,Low,High,Low,Mitigation,54.24,141.2,33.4,39.39,87.02,36.38,341.0,0.59,,99.0,67.5,96.43,0.25,1.0,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Kishtwar,Moderate,Very Low,Very Low,No Data,14.7,124.4,15.8,38.6,1.8,15.17,153.0,,,,235.0,96.44,0.55,3.43,,,No data
Koch Bihar,High,Moderate,Moderate,Adaptation,77.55,206.7,15.8,26.58,91.19,44.68,21881.0,1.12,65.0,35.0,460.0,94.06,0.86,3.53,West Bengal State Electricity Distribution Company Limited (WBSEDCL),B-,No
Kodagu,Moderate,Low,Low,No Data,48.75,114.4,1.3,47.67,32.62,40.39,584.0,1.38,100.0,,,67.72,2.27,2.18,Chamundeshwari Electricity Supply Corporation Limited (CHESCOM),B,Yes
Kodarma,High,High,Moderate,Adaptation + Mitigation,7.14,120.8,25.0,54.28,55.34,66.44,1889.0,26.52,2.0,98.0,95.0,89.68,0.81,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Kohima,Moderate,Very Low,Very Low,No Data,21.17,137.8,25.3,34.44,0.05,5.84,63.0,,41.0,58.0,320.0,11.71,7.48,1.91,,,No data
Kokrajhar,Moderate,Low,Low,No Data,27.62,153.8,12.1,34.48,42.1,5.07,10835.0,0.39,,100.0,465.0,90.21,0.95,3.96,Assam Power Distribution Company Limited (APDCL),B-,No
Kolar,Low,Moderate,Very High,GW Sustainability,56.1,104.7,13.0,52.57,78.46,172.8,1304.0,1.43,98.0,,,92.52,0.78,2.44,Bangalore Electricity Supply Company Limited (BESCOM),C,Yes
Kolasib,High,Very Low,Very Low,Adaptation,16.41,100.0,23.5,32.61,,1.22,720.0,0.76,,,380.0,44.13,2.51,1.49,,,No data
Kolhapur,Very High,Low,Low,Adaptation,58.61,176.9,18.4,69.84,39.75,42.45,1338.0,0.93,79.0,19.0,155.0,92.3,0.86,2.4,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Kolkata,No Data,No Data,No Data,No Data,,,,,,,3051.0,12.83,68.0,32.0,460.0,,,,,,No data
Kollam,High,Very Low,Low,Adaptation,49.25,113.8,6.3,39.21,46.1,51.93,2352.0,1.53,99.0,1.0,195.0,99.84,0.07,1.08,Kerala State Electricity Board Limited (KSEBL),B-,No
Kondagaon,Moderate,Very Low,Very Low,No Data,22.02,105.5,5.5,54.35,28.26,36.85,1391.0,0.15,98.0,1.0,,69.7,1.74,2.36,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Koppal,High,Low,High,Adaptation + GW Sustainability,75.97,124.1,27.9,71.07,37.36,61.84,98.0,,99.0,1.0,,69.89,1.79,1.12,Gulbarga Electricity Supply Company Limited (GESCOM),C,Yes
Koraput,Very High,Low,Very Low,Adaptation,32.59,118.1,44.1,37.14,6.96,23.59,939.0,0.03,31.0,67.0,150.0,82.76,1.28,2.37,TP Southern Odisha Distribution Limited (TPSODL),B,No data
Korba,Moderate,Very Low,Very Low,No Data,16.98,103.9,7.0,43.53,15.56,34.16,819.0,0.17,100.0,,,84.45,1.11,2.93,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Koriya,Low,Very Low,Very Low,No Data,15.93,110.0,7.4,43.43,30.65,39.04,734.0,0.13,100.0,,,74.25,1.5,2.89,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Kota,Moderate,Very High,Very High,Mitigation + GW Sustainability,51.85,192.2,55.4,73.42,53.77,105.44,217.0,8.11,100.0,,167.0,66.71,2.1,2.32,Jaipur Vidyut Vitran Nigam Limited (JVVNL),B,No
Kottayam,Very High,Low,Low,Adaptation,73.36,129.6,13.9,29.03,29.36,37.11,3506.0,0.15,99.0,1.0,195.0,98.22,0.34,1.31,Kerala State Electricity Board Limited (KSEBL),B-,No
Kozhikode,High,Low,Low,Adaptation,61.2,133.5,4.1,50.8,52.17,61.7,6192.0,0.69,96.0,4.0,195.0,99.57,0.19,1.23,Kerala State Electricity Board Limited (KSEBL),B-,No
Krishna,Very High,High,High,All,52.78,133.2,55.4,63.03,13.87,25.63,23928.0,8.46,98.0,2.0,,91.48,0.82,1.3,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Krishnagiri,Very Low,Moderate,High,GW Sustainability,32.81,127.6,36.3,58.7,76.64,86.17,1719.0,0.83,93.0,6.0,,94.1,0.7,1.84,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Kulgam,High,High,Very Low,Adaptation + Mitigation,61.49,136.5,72.8,42.95,0.3,15.7,43.0,0.01,,,235.0,98.66,0.4,2.83,,,No data
Kullu,High,Very Low,Very Low,Adaptation,57.42,146.9,,25.23,1.05,,5484.0,,99.0,1.0,30.0,96.46,0.55,3.97,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Kupwara,Very High,Very Low,Very Low,Adaptation,69.09,100.0,49.2,39.12,0.77,18.04,270.0,0.01,100.0,,235.0,97.7,0.31,2.92,,,No data
Kurnool,High,Moderate,Moderate,Adaptation,49.98,110.4,28.1,70.85,52.22,23.51,3781.0,1.01,98.0,1.0,,79.27,1.39,1.54,Southern Power Distribution Company of Andhra Pradesh Limited (APSPDCL),B-,Yes
Kurukshetra,Very Low,High,Very High,Mitigation + GW Sustainability,84.85,191.4,100.0,76.05,91.76,226.3,645.0,0.01,93.0,6.0,10.0,70.41,2.06,1.14,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),A+,Yes
Kurung Kumey,Low,Very Low,Very Low,No Data,21.58,108.6,,18.09,0.22,,,,,,290.0,34.82,3.1,1.74,,,No data
Kushinagar,Low,High,Moderate,Mitigation,72.98,156.9,89.7,73.42,69.42,51.18,4245.0,0.53,88.0,11.0,,97.14,0.51,1.69,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Lahul & Spiti,Low,Very Low,Very Low,No Data,0.39,101.2,,26.53,,,301.0,,,,30.0,72.7,1.49,6.8,Himachal Pradesh State Electricity Board Limited (HPSEBL),C,No
Lakhimpur,Moderate,Moderate,Very Low,No Data,41.6,208.8,8.3,26.46,50.56,9.58,6881.0,0.29,,100.0,465.0,85.17,1.12,1.2,Assam Power Distribution Company Limited (APDCL),B-,No
Lakhimpur Kheri,Low,Very High,Moderate,Mitigation,62.62,148.0,92.7,72.91,84.03,60.79,,,1.0,99.0,,92.34,0.75,1.83,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Lakhisarai,Low,Very High,Low,Mitigation,36.36,146.3,78.4,56.36,42.12,36.63,140.0,0.09,7.0,92.0,67.5,93.61,0.42,1.02,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Lakshadweep,Low,Very Low,Low,No Data,80.63,107.2,,,100.0,61.72,,,99.0,1.0,,,,,,,No data
Lalitpur,Moderate,High,Low,Mitigation,57.02,169.2,45.8,75.17,49.7,84.64,970.0,0.15,7.0,91.0,,81.42,1.37,2.44,Dakshinanchal Vidyut Vitran Nigam Limited (DVVNL),C-,No
Latehar,Moderate,Moderate,Very Low,No Data,11.16,150.9,22.0,38.69,35.21,29.2,4700.0,2.34,2.0,97.0,95.0,79.81,1.43,1.12,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Latur,High,High,Very High,All,81.57,130.1,50.7,65.51,91.9,54.88,2186.0,2.45,99.0,,155.0,78.03,1.4,1.27,Maharashtra State Electricity Distribution Company Limited (MSEDCL),C,Yes
Lawangtlai,Very High,Very Low,Very Low,Adaptation,5.38,100.0,20.2,43.8,,3.4,55.0,0.01,,,380.0,88.17,1.02,1.05,,,No data
Leh (Ladakh),No Data,No Data,No Data,No Data,,106.5,100.0,62.48,1.07,43.67,365.0,,,,235.0,93.74,0.7,3.08,,,No data
Lohardaga,High,High,Low,Adaptation + Mitigation,28.71,130.1,22.3,36.54,92.79,15.1,2701.0,11.03,12.0,87.0,95.0,75.59,1.61,1.0,Jharkhand Bijli Vitran Nigam Limited (JBVNL),C-,No
Lohit,Moderate,Very Low,Very Low,No Data,68.94,168.9,9.0,16.64,5.08,0.37,11.0,0.01,83.0,17.0,290.0,53.87,8.58,1.8,,,No data
Longding,Low,Very Low,Very Low,No Data,22.38,116.9,,19.3,0.6,,74.0,0.03,,,290.0,29.33,2.93,1.43,,,No data
Longleng,Moderate,Very Low,Very Low,No Data,15.72,141.0,12.2,30.26,0.24,0.87,71.0,0.02,,,320.0,35.1,4.09,1.48,,,No data
Lower Dibang Valley,Low,Very Low,Very Low,No Data,80.5,149.6,13.6,16.96,0.16,0.19,,,,,290.0,14.53,7.52,1.63,,,No data
Lower Subansiri,Moderate,Very Low,Very Low,No Data,65.91,110.1,24.0,21.96,0.26,2.23,,,,,290.0,59.72,1.58,1.01,,,No data
Lucknow,Very Low,Very High,High,Mitigation + GW Sustainability,48.37,148.6,93.0,77.84,77.17,65.94,4680.0,0.83,10.0,87.0,,95.54,0.61,1.89,Madhyanchal Vidyut Vitran Nigam Limited (MVVNL),C-,Yes
Ludhiana,Very Low,Moderate,Very High,GW Sustainability,81.12,185.9,100.0,68.72,94.62,221.04,1189.0,0.7,99.0,1.0,,,3.86,1.23,Punjab State Power Corporation Limited (PSPCL),B,Yes
Lunglei,Very High,Very Low,Very Low,Adaptation,3.86,100.0,8.2,40.33,,3.8,62.0,0.01,,,380.0,94.43,1.06,1.06,,,No data
Madhepura,Moderate,Moderate,Low,No Data,71.81,149.7,72.5,47.8,41.76,40.99,221.0,0.19,1.0,99.0,67.5,96.24,0.39,2.01,South Bihar Power Distribution Company Limited (SBPDCL),C,Yes
Madhubani,Very High,Very High,Moderate,Adaptation + Mitigation,55.37,148.0,45.8,51.08,57.48,42.23,4893.0,52.81,38.0,62.0,67.5,97.74,0.53,1.06,North Bihar Power Distribution Company Ltd (NBPDCL),C,Yes
Madurai,High,High,High,All,34.72,101.9,52.0,57.6,37.03,65.41,2295.0,136.7,78.0,18.0,,95.37,0.58,1.45,Tamil Nadu Generation and Distribution Corporation Limited (TANGEDCO),C-,No
Maharajganj,Moderate,Very High,Moderate,Mitigation,65.46,185.3,49.5,72.11,73.78,62.53,4612.0,1.87,7.0,92.0,,96.45,0.59,1.39,Purvanchal Vidyut Vitran Nigam Limited (PuVVNL),C-,Yes
Mahasamund,High,Very Low,Low,Adaptation,52.61,116.7,42.9,44.17,18.11,59.94,2760.0,1.19,56.0,43.0,,83.18,1.26,3.06,Chhattisgarh State Power Distribution Company Limited (CSPDCL),B-,No
Mahbubnagar,High,Moderate,Very High,Adaptation + GW Sustainability,58.05,107.2,22.8,63.77,71.71,58.83,2885.0,4.99,99.0,1.0,,85.93,1.12,1.75,Northern Power Distribution Company of Telangana Limited (TSNPDCL),C,No
Mahe,High,High,Low,Adaptation + Mitigation,64.94,100.4,6.0,60.27,50.43,68.7,,,30.0,70.0,,100.0,0.04,1.0,,,No data
Mahendragarh,Very Low,High,Very High,Mitigation + GW Sustainability,78.47,187.2,59.5,70.62,92.63,146.51,868.0,0.26,82.0,18.0,10.0,72.13,1.9,1.0,Dakshin Haryana Bijli Vitran Nigam Limited (DHBVNL),A,Yes
